title,year,url,checkedcount,favouritecount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
"Under the Shadow",2016,http://www.icheckmovies.com/movies/under+the+shadow/,1339,114,1,141,,http://www.imdb.com/title/tt4273292/,"2019-02-07 16:17:32",no,no,no,no
Aterrados,2017,http://www.icheckmovies.com/movies/aterrados/,248,16,0,34,Terrified,http://www.imdb.com/title/tt7549892/,"2019-02-05 02:34:17",no,no,no,no
Triangle,2009,http://www.icheckmovies.com/movies/triangle/,3652,304,1,166,,http://www.imdb.com/title/tt1187064/,"2019-02-05 02:33:26",no,no,no,no
"Shot Caller",2017,http://www.icheckmovies.com/movies/shot+caller/,900,52,0,22,,http://www.imdb.com/title/tt4633690/,"2019-02-03 05:27:43",no,no,no,no
Blockers,2018,http://www.icheckmovies.com/movies/blockers/,1458,33,0,43,,http://www.imdb.com/title/tt2531344/,"2019-02-03 02:07:50",no,no,no,no
Revenge,2017,http://www.icheckmovies.com/movies/revenge-2017/,909,66,0,102,,http://www.imdb.com/title/tt6738136/,"2019-02-03 02:07:31",no,no,no,no
"Sleepaway Camp",1983,http://www.icheckmovies.com/movies/sleepaway+camp/,2809,132,1,168,,http://www.imdb.com/title/tt0086320/,"2019-01-18 16:05:42",no,no,no,no
"Spider-Man: Into the Spider-Verse",2018,http://www.icheckmovies.com/movies/spider-man+into+the+spider-verse/,9867,1265,14,325,,http://www.imdb.com/title/tt4633694/,"2019-01-18 16:05:10",no,no,no,no
"You Might Be the Killer",2018,http://www.icheckmovies.com/movies/you+might+be+the+killer/,115,8,0,13,,http://www.imdb.com/title/tt8998472/,"2019-01-15 21:52:59",no,no,no,no
"Ocean's Eight",2018,http://www.icheckmovies.com/movies/oceans+eight/,4327,98,2,82,,http://www.imdb.com/title/tt5164214/,"2019-01-14 12:21:20",no,no,no,no
Mandy,2018,http://www.icheckmovies.com/movies/mandy-2018/,2233,206,2,157,,http://www.imdb.com/title/tt6998518/,"2019-01-03 21:50:36",no,no,no,no
"The Endless",2017,http://www.icheckmovies.com/movies/the+endless/,937,48,0,83,,http://www.imdb.com/title/tt3986820/,"2019-01-02 18:49:01",no,no,no,no
